Unique Authors
Suzanne Collins
J.K. Rowling
Mary GrandPré
Stephenie Meyer
Harper Lee
F. Scott Fitzgerald
John Green
J.R.R. Tolkien
J.D. Salinger
Dan Brown
Jane Austen
Khaled Hosseini
Veronica Roth
Anne Frank
Eleanor Roosevelt
B.M. MooyaartDoubleday
Stieg Larsson
Reg Keeland
Rufus Beck
Alice Sebold
William Golding
William Shakespeare
Robert           Jackson
Gillian Flynn
Kathryn Stockett
John Steinbeck
Arthur Golden
E.L. James
Lois Lowry
C.S. Lewis
Audrey Niffenegger
George R.R. Martin
Elizabeth Gilbert
Rick Riordan
Louisa May Alcott
Charlotte Brontë
Michael Mason
Yann Martel
Sara Gruen
Markus Zusak
Shel Silverstein
Cassandra Clare
Christopher Paolini
Douglas Adams
Aldous Huxley
Sue Monk Kidd
Mark Twain
John Seelye
Guy Cardwell
E.B. White
Garth Williams
Rosemary Wells
Mark Haddon
Paula Hawkins
Philip Pullman
Emily Brontë
Richard J. Dunn
Jodi Picoult
Kurt Vonnegut Jr.
Margaret Mitchell
Stephen Chbosky
Orson Scott Card
Stephen King
Helen Fielding
Tony Tanner
Ros Ballaster
Louis Sachar
Lauren Weisberger
Homer
Robert Fagles
E.V. Rieu
Frédéric Mugler
Bernard Knox
Antoine de SaintExupéry
Richard Howard
Dom Marcos Barbosa
Melina Karakosta
Jeannette Walls
Jon Krakauer
Charles Dickens
Richard Maxwell
Hablot Knight Browne
John Grisham
Elie Wiesel
Marion Wiesel
William Goldman
S.E. Hinton
James Dashner
Steven D. Levitt
Stephen J. Dubner
Frances Hodgson Burnett
Gabriel García Márquez
Gregory Rabassa
Oscar Wilde
Jeffrey Eugenides
Bram Stoker
Nina Auerbach
David J. Skal
Barbara Kingsolver
David Sedaris
Maurice Sendak
Alexandre Dumas
Robin Buss
Cormac McCarthy
Tina Fey
Sophie Kinsella
Victor Hugo
Lee Fahnestock
Norman MacAfee
Kim Edwards
Joseph Heller
Mitch Albom
Saulius Dagys
Amy Tan
Margaret Atwood
Ann Brashares
Vladimir Nabokov
Craig Raine
Gregory Maguire
Douglas Smith
Richard Andrews
Rex Gibson
Malcolm Gladwell
Walter Isaacson
Ken Kesey
Ernest Hemingway
L.M. Montgomery
Rebecca Wells
Diana Gabaldon
Nathaniel Hawthorne
Thomas E. Connolly
Nina Baym
Ransom Riggs
Andy Weir
Ken Follett
Anthony Doerr
Laura Hillenbrand
Donna Tartt
Tracy Chevalier
Gayle Forman
Anita Diamant
Nicholas Sparks
Emily Giffin
Dr. Seuss
לאה נאור
Roald Dahl
Quentin Blake
Albert Camus
Matthew    Ward
Rainbow Rowell
Ally Condie
Neil Gaiman
Bernie Wrightson
Fiona Stafford
Leo Tolstoy
Louise Maude
Leo Tolstoj
Aylmer Maude
Fyodor Dostoyevsky
David McDuff
Sylvia Plath
Frank McCourt
Hermann Hesse
Hilda Rosner
Truman Capote
Kami Garcia
Margaret Stohl
Erin Morgenstern
Philippa Gregory
Scott Westerfeld
Cheryl Strayed
Alan Moore
Dave Gibbons
John Higgins
Patrick Rothfuss
Herman Melville
Andrew Delbanco
Tom Quirk
Charlaine Harris
John Grogan
Agatha Christie
Becca Fitzpatrick
Jamie McGuire
Anne Rice
Kiera Cass
Janet Evanovich
Rebecca Skloot
Thomas Harris
Richelle Mead
Ian McEwan
Franz Kafka
Stanley Corngold
Ernest Cline
Garth Stein
Sylvia Day
Pauline Baynes
Mark Cotta Vaz
Dave Pelzer
Robert Ludlum
Eoin Colfer
Lauren Kate
Emma McLaughlin
Nicola Kraus
Lewis Carroll
John Tenniel
Martin Gardner
James Kinsley
Deidre Shauna Lynch
Tatiana de Rosnay
Edith Grossman
Liane Moriarty
Augusten Burroughs
Max Brooks
James Patterson
P.C. Cast
Kristin Cast
Stephen R. Covey
Barbara A. Mowat
Paul Werstine
Catherine Belsey
Jonathan Safran Foer
R.J. Palacio
Robert Galbraith
Maggie Stiefvater
Ayn Rand
Leonard Peikoff
Greg Mortenson
David Oliver Relin
Jane Carruth
Rene Cloke
Carlos Ruiz Zafón
Lucia Graves
Dale Carnegie
Frances Mayes
Gail Carson Levine
Betty  Smith
Kristin Hannah
Kazuo Ishiguro
Cecelia Ahern
Daphne du Maurier
Sally Beauman
Laura Esquivel
Thomas  Christensen
Carol Christensen
Mario Puzo
Robert Thompson
Peter Bart
Isaac Asimov
John Tiffany
Jack Thorne
Lauren Oliver
Terry Pratchett
Jack Kerouac
Graeme Simsion
Tom Clancy
Richard Adams
Mindy Kaling
Abraham Verghese
Robert Louis Stevenson
Eric Carle
H.G. Wells
Greg Bear
Carlo Pagetti
Todd Burpo
Lynn Vincent
John Boyne
Joseph Conrad
Rhonda Byrne
Wally Lamb
Jennifer Weiner
Colleen McCullough
Dave McKean
M.L. Stedman
Cornelia Funke
Anthea Bell
Spencer Johnson
Kenneth H. Blanchard
Bill Bryson
Maya Angelou
Christina Baker Kline
Maria Semple
Wilson Rawls
Milan Kundera
Michael Henry Heim
John Irving
Janet Fitch
Marie Lu
Robert Jordan
Lisa Genova
David Nicholls
Margaret Wise Brown
Clement Hurd
Pittacus Lore
L. Frank Baum
W.W. Denslow
E. Lockhart
Hunter S. Thompson
Ralph Steadman
Amy Poehler
Toni Morrison
Kristin Cashore
Lemony Snicket
Brett Helquist
Erich Maria Remarque
A.W. Wheen
George Cruikshank
Philip Horne
Stephanie Perkins
David   Lloyd
David McCullough
Dean Koontz
Jerry Spinelli
Robert A. Heinlein
Jack London
Jhumpa Lahiri
Deborah Harkness
Haruki Murakami
Jay Rubin
Billie Letts
David Levithan
James Frey
Susan Cain
Arthur Miller
Christopher Bigsby
Gary Paulsen
Brandon Sanderson
Mervyn Peake
Dan Chaon
Jeff Kinney
Sarah J. Maas
Jamie Ford
Patrick Süskind
John E. Woods
Eric Schlosser
Edgar Allan Poe
Sun Tzu
Thomas Cleary
William Landay
Betty Edwards
Ann Patchett
Jared Diamond
Fannie Flagg
Chinua Achebe
Gary Chapman
Chris Cleave
Alyson Noel
Diane Setterfield
Paula McLain
Umberto Eco
William Weaver
Seán Barrett
Beatrice Sparks
Anonymous
John Kennedy Toole
Walker Percy
Philip Gabriel
J.R. Ward
Arundhati Roy
Stephen Hawking
Cao Chi
Phạm Văn Thiều
Sarah Dessen
A.A. Milne
Ernest H. Shepard
S.J. Watson
Arthur Conan Doyle
Rick Warren
Jim Butcher
Alfred MacAdam
Rick Yancey
Charles Frazier
Laura Joffe Numeroff
Felicia Bond
Tennessee Williams
Emily St. John Mandel
Fredrik Backman
Henning Koch
Pearl S. Buck
John Berger
Chuck Dixon
David Wenzel
Sean Deming
Junot Díaz
Zora Neale Hurston
Newt Scamander
Albus Dumbledore
Malala Yousafzai
Christina Lamb
Kathryn Sutherland
Claire Lamont
Viktor E. Frankl
Richard Dawkins
Lee Child
Daniel Defoe
Gerald McCann
Virginia Woolf
Niccolò Machiavelli
Adolph Caso
Rufus Goodwin
Benjamin Martinez
Terry Goodkind
Kathleen Grissom
Chuck Palahniuk
Richard Pevear
Larissa Volokhonsky
Jeanne DuPrau
Michael Crichton
Kahlil Gibran
Dave Eggers
Anna Sewell
Henry Gifford
Bret Easton Ellis
Meg Cabot
Alexander McCall Smith
Robert Kirkman
Tony Moore
Arthur C. Clarke
Francine Rivers
Tim LaHaye
Jerry B. Jenkins
Barbara Ehrenreich
Patricia Cornwell
Corrie ten Boom
John Sherrill
Elizabeth Sherrill
Pat Conroy
Michael Chabon
Simone Elkeles
J.M. Barrie
Michael Hague
David Mitchell
Tim OBrien
Banksy
Jeff Lindsay
Jonathan Swift
Robert DeMaria Jr.
Gail Kern Paster
Robert          Jackson
Unknown
Seamus Heaney
Frank Miller
David Mazzucchelli
Richmond Lewis
Dennis ONeil
Laini Taylor
Victoria Aveyard
Charles Duhigg
John Berendt
Colleen Hoover
Nancy Bond
